--- Triggers on auth.users ---
Name: RI_ConstraintTrigger_a_19045 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227226 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227227 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227231 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227232 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227236 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227237 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227241 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227242 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227246 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227247 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227251 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227252 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227256 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227257 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227261 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227262 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227266 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227267 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227271 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227272 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227276 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227277 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227281 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227282 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227286 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227287 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227291 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227292 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: RI_ConstraintTrigger_a_227296 | Activation: AFTER | Level: ROW | Event: DELETE
Name: RI_ConstraintTrigger_a_227297 | Activation: AFTER | Level: ROW | Event: UPDATE
Name: on_auth_user_created | Activation: AFTER | Level: STATEMENT | Event: INSERT
